Date,Close,Volume,Open,High,Low,12 EMA,26 EMA,MACD,9 EMA MACD,Histogram
01/17/2024,182.68,47317430,181.27,182.93,180.3,185.860697,187.7863247,-1.925627729,-1.208079353,-0.717548376
01/18/2024,188.63,78005750,186.09,189.14,185.83,186.2867436,187.8488192,-1.562075579,-1.278878599,-0.283196981
01/19/2024,191.56,68902990,189.33,191.95,188.82,187.0980138,188.1237215,-1.025707649,-1.228244409,0.202536759
01/22/2024,193.89,60133850,192.3,195.33,192.26,188.1429348,188.5508532,-0.407918443,-1.064179216,0.656260772
01/23/2024,195.18,42355590,195.02,195.75,193.8299,189.2255602,189.0419011,0.183659065,-0.81461156,0.998270625
01/24/2024,194.5,53631320,195.42,196.38,194.34,190.0370125,189.4462048,0.590807722,-0.533527703,1.124335425
01/25/2024,194.17,54822130,195.22,196.2675,193.1125,190.6728567,189.7961155,0.876741197,-0.251473923,1.12821512
01/26/2024,192.42,44594010,194.27,194.76,191.94,190.941648,189.9904773,0.951170658,-0.010945007,0.962115665
01/29/2024,191.73,47145620,192.01,192.2,189.58,191.0629329,190.1193309,0.943602052,0.179964405,0.763637647
01/30/2024,188.04,55859370,190.94,191.8,187.47,190.5978663,189.9653064,0.632559958,0.270483515,0.362076442
01/31/2024,184.4,55467800,187.04,187.095,184.35,189.6443484,189.5530614,0.091286979,0.234644208,-0.143357229
02/01/2024,186.86,64885410,183.985,186.95,183.82,189.2159871,189.3535754,-0.137588284,0.16019771,-0.297785993
02/02/2024,185.85,102551700,179.86,187.33,179.25,188.698143,189.0940513,-0.395908352,0.048976497,-0.44488485
02/05/2024,187.68,69668820,188.15,189.25,185.84,188.5415056,188.9893068,-0.447801188,-0.05037904,-0.397422149
02/06/2024,189.3,43490760,186.86,189.31,186.7695,188.658197,189.0123211,-0.354124052,-0.111128042,-0.24299601
02/07/2024,189.41,53438960,190.64,191.05,188.61,188.773859,189.0417788,-0.267919754,-0.142486384,-0.125433369
02/08/2024,188.32,40962050,189.385,189.535,187.35,188.7040346,188.9883137,-0.284279124,-0.170844932,-0.113434192
02/09/2024,188.85,45155220,188.65,189.99,188,188.7264908,188.9780682,-0.251577444,-0.186991435,-0.064586009
02/12/2024,187.15,41781930,188.415,188.67,186.79,188.4839537,188.8426558,-0.358702026,-0.221333553,-0.137368473
02/13/2024,185.04,56529530,185.77,186.21,183.5128,187.9541147,188.5609776,-0.606862857,-0.298439414,-0.308423444
02/14/2024,184.15,54630520,185.32,185.53,182.44,187.3688663,188.2342385,-0.865372194,-0.41182597,-0.453546224
02/15/2024,183.86,65434500,183.55,184.49,181.35,186.8290407,187.9102208,-1.081180111,-0.545696798,-0.535483313
02/16/2024,182.31,49752470,183.42,184.85,181.665,186.1338037,187.4953896,-1.361585971,-0.708874633,-0.652711338
02/20/2024,181.56,53665550,181.79,182.43,180,185.4301416,187.0557311,-1.625589582,-0.892217623,-0.73337196
02/21/2024,182.32,41529670,181.94,182.8888,180.66,184.9516582,186.7049362,-1.753278,-1.064429698,-0.688848302
