Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
02/12/2022,11.5,13.33,11.41,13.3,27053110,0.148,0.077,0.09055,0.0647
08/12/2022,11.92,12.669,11.7,12.57,9985209,0.028,0.058,0.09005,0.0654
13/12/2022,12.42,12.58,11.4135,11.71,13802430,-0.019,0.018,0.0854,0.0625
14/12/2022,11.55,12.2761,11.52,12.16,9566524,0.075,0.029,0.082,0.06066
16/12/2022,11.19,11.63,10.69,10.71,12728870,0.08,0.037,0.0851,0.06172
19/12/2022,10.59,10.63,10.23,10.48,6284162,0.124,0.034,0.0866,0.06344
21/12/2022,10.47,10.61,9.86,9.88,11384410,0.069,0.053,0.0857,0.06366
22/12/2022,9.74,9.74,8.83,9.21,10146780,0.131,0.067,0.09025,0.06606
23/12/2022,9.21,9.24,8.655,8.89,7653813,-0.074,0.055,0.0834,0.06392
27/12/2022,8.79,8.805,8.12,8.14,12128550,0.062,0.059,0.0811,0.06358
28/12/2022,8.12,8.31,7.855,7.88,9501641,0.013,0.049,0.0791,0.06204
29/12/2022,8.05,8.31,7.92,8.09,8878116,-0.021,0.029,0.0717,0.06074
