Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
15/11/2023,29.3,30.38,28.91,30.19,14296710,0.066,0.062,0.0708,0.08256
16/11/2023,29.86,30.15,28.63,28.9,10741590,0.116,0.071,0.07625,0.08264
17/11/2023,29.02,29.42,28.45,29.2,7581760,0.091,0.073,0.07745,0.08054
20/11/2023,29.32,30.13,28.97,29.44,7796714,-0.076,0.06,0.07125,0.07688
27/11/2023,28.6,29.43,27.755,28.13,14663590,0.145,0.062,0.0739,0.07788
28/11/2023,28.01,29.42,27.87,29.37,7626817,0.03,0.065,0.0737,0.07452
29/11/2023,30.25,31.64,29.91,30.36,17647570,0.067,0.065,0.0735,0.07418
30/11/2023,30.68,30.77,29.32,29.51,9310305,0.13,0.067,0.0773,0.07528
04/12/2023,32,33.02,31.85,32.63,11660210,0.118,0.071,0.0739,0.07488
07/12/2023,31.45,32.04,31.15,31.9,7449955,0.171,0.084,0.07965,0.07598
11/12/2023,32.23,32.68,31.6,32.4,6592947,0.085,0.107,0.07635,0.07594
13/12/2023,33.35,35.5,33.19,35.39,15412590,0.096,0.1,0.07505,0.0733
14/12/2023,36.4,38.38,36.36,38.28,21308080,0.112,0.111,0.07675,0.07244
19/12/2023,39.83,41.37,39.6,40.94,13722140,0.106,0.117,0.0789,0.0718
20/12/2023,40.82,41.385,38.61,38.67,11997850,0.078,0.109,0.07865,0.07076
22/12/2023,38.5,39.58,37.43,39.21,11590740,0.102,0.107,0.0812,0.07174
28/12/2023,42.3,42.795,41.675,42.68,6871611,0.074,0.093,0.08095,0.07212
29/12/2023,42.34,42.56,40.08,40.89,10966220,0.073,0.092,0.0823,0.07224
02/01/2024,39.98,40.67,38.28,38.79,12599890,0.1,0.092,0.0846,0.0749
03/01/2024,37.88,38.21,36.77,36.93,12665290,0.116,0.093,0.09,0.07566
04/01/2024,36.865,37.68,36.25,37.05,9227006,0.079,0.089,0.09065,0.07532
05/01/2024,36.46,38.36,36.17,37.78,11228790,0.106,0.093,0.09015,0.0755
08/01/2024,37.51,39.292,37.13,38.98,12057140,0.018,0.081,0.0865,0.07584
09/01/2024,38.59,38.67,35.53,35.87,30384620,0.075,0.081,0.09405,0.07576
10/01/2024,36.08,38.8499,35.5001,37.13,23615410,0.08,0.082,0.0908,0.07736
11/01/2024,36.64,37.04,34.64,34.82,18972930,-0.022,0.065,0.0882,0.07624
12/01/2024,34.48,35.5621,34.24,34.59,12920170,0.088,0.061,0.08925,0.07622
16/01/2024,33.79,34.3399,32.92,34.1,9985734,0.138,0.084,0.08965,0.07714
17/01/2024,33.13,33.35,32.21,32.98,11219560,0.083,0.093,0.0879,0.07728
18/01/2024,34.96,35.26,32.43,32.87,13400460,0.058,0.091,0.08225,0.07632
22/01/2024,34,35.5,33.68,34.22,10832600,0.062,0.103,0.0811,0.0783
23/01/2024,34.74,34.935,33.725,34.28,7477601,0.244,0.125,0.0885,0.08304
25/01/2024,33.23,33.7299,32.71,32.88,7959925,0.106,0.11,0.0882,0.08382
26/01/2024,32.93,33.93,32.88,33.11,7738920,0.085,0.103,0.08715,0.08456
29/01/2024,33.07,34.7,32.8,34.6,7746617,0.234,0.124,0.09495,0.0874
31/01/2024,33.04,34.1532,32.33,32.4,7454337,0.131,0.135,0.0964,0.08934
01/02/2024,32.51,32.81,31.4026,31.97,9303970,0.089,0.136,0.09715,0.0897
02/02/2024,31.48,32.9,30.92,32.84,7875464,0.052,0.134,0.0961,0.08966
05/02/2024,33.19,33.4299,31.23,31.46,9822726,0.192,0.128,0.1007,0.08978
07/02/2024,32.32,32.88,31.68,32.52,5387347,0.086,0.129,0.0992,0.09038
08/02/2024,32.5,33.61,32.11,33.41,7402662,-0.094,0.082,0.09055,0.08548
12/02/2024,33.45,35.5599,33.34,34.1,15770120,-0.053,0.055,0.0826,0.08198
13/02/2024,32.27,33.42,31.7,33.11,13439120,0.073,0.053,0.08535,0.08188
14/02/2024,33.63,35.2,33.57,34.91,8762087,0.02,0.049,0.0826,0.08102
15/02/2024,35.07,35.56,34.33,35.02,7256132,0.107,0.047,0.08395,0.0815
16/02/2024,34.3,34.9099,33.75,33.9,7772990,0.09,0.033,0.08955,0.08228
21/02/2024,31.2,31.37,30.58,30.83,7504072,-0.018,0.037,0.08425,0.08034
22/02/2024,31.54,31.83,30.85,31.02,8615118,0.103,0.059,0.0825,0.08148
26/02/2024,31.57,33.43,31.2,33.04,27652490,0.101,0.069,0.0834,0.08242
27/02/2024,29.01,31.6799,27.73,31.02,46815870,0.113,0.069,0.08615,0.08452
01/03/2024,29.39,29.425,28.31,28.91,10525430,0.093,0.07,0.0877,0.08506
07/03/2024,27.15,27.59,26.65,27.34,6515552,0.122,0.081,0.0816,0.08518
14/03/2024,25.98,26.09,25.385,26,9077437,0.058,0.092,0.0792,0.08452
18/03/2024,26.07,26.3199,25.5,26.07,6650483,0.095,0.091,0.0797,0.08794
19/03/2024,25.8,26.06,25.13,26,6095404,0,0.083,0.068,0.08504
20/03/2024,25.98,27.255,25.62,27.15,8877928,0.236,0.102,0.07325,0.08916
21/03/2024,27.61,28.475,27.48,27.57,9451013,0.093,0.1,0.07345,0.08968
22/03/2024,27.29,27.4353,26.95,26.99,5597343,0.292,0.128,0.08545,0.09292
26/03/2024,27.63,27.75,26.55,26.7,7642596,0.169,0.142,0.0843,0.09394
27/03/2024,27.05,27.215,25.12,26.99,11107580,0.119,0.159,0.08595,0.0929
