Date,Open,High,Low,Close/Last,Volume
02/02/2023,80.71,82.0999,78.37,81.27,5656165
03/02/2023,78.48,81.14,76.57,77.47,2781684
06/02/2023,76.4,79,75.71,76.34,1619079
07/02/2023,76.04,77.64,74.12,77.22,1480154
08/02/2023,77.51,78.19,75.75,75.91,1669836
09/02/2023,77,78.825,76.53,77.16,2040131
10/02/2023,75.99,76.53,73.15,76.39,2731238
13/02/2023,74.56,76.3694,73.595,75.56,2945828
14/02/2023,73.43,77.45,73.03,77.28,2499603
15/02/2023,77.43,78.7499,76.03,78.46,1915418
16/02/2023,76.33,77.96,75.24,75.27,1752121
17/02/2023,74.155,74.79,71.91,74.01,1905587
21/02/2023,72.01,73.1812,71.21,72.17,2065691
22/02/2023,72.87,73.955,72.43,72.56,1495366
23/02/2023,73.3,73.7056,70.65,73.42,2017914
