Date,Open,High,Low,Close,Volume,Average Score,7 MA
31/10/2023,168.31,169.85,166.87,169.72,44528033,0.532,0.488
01/11/2023,129.89,132.12,129.11,132.1,69114397,0.387,0.505
04/11/2023,160.91,160.92,159.09,159.37,46298026,0.494,0.407
05/11/2023,172.31,173.04,170.64,172.21,49376730,0.524,0.617
07/11/2023,187.74,187.88,185.2,186.67,46485870,0.731,0.597
08/11/2023,176.23,177.52,175.46,176.7,51913070,0.625,0.657
09/11/2023,178.96,179.19,176.25,178.26,58332032,0.55,0.344
10/11/2023,177.1,178.74,176.51,178.69,47037628,0.685,0.487
12/11/2023,192.17,192.55,190.49,192.24,60777522,0.4,0.558
13/11/2023,184.91,185.12,183.31,183.9,41970511,0.572,0.58
14/11/2023,186.79,187.19,185.39,186.53,59705389,0.653,0.609
15/11/2023,186.93,188.58,186.87,187.09,53226711,0.758,0.658
16/11/2023,188.65,190.03,187.73,188.79,54245406,0.733,0.694
17/11/2023,189.32,189.45,187.65,188.77,50931623,0.572,0.696
20/11/2023,188.96,190.97,188.95,190.52,46238313,0.131,0.581
21/11/2023,190.48,190.59,188.82,189.71,37918970,0.436,0.55
22/11/2023,190.56,191.99,189.9,190.38,39630011,0.586,0.525
24/11/2023,189.94,189.97,188.33,189.04,24042745,0.656,0.544
27/11/2023,188.99,189.74,187.98,188.87,40396466,0.704,0.63
28/11/2023,188.86,190.15,188.48,189.47,37787024,0.691,0.667
29/11/2023,189.97,191.15,188.05,188.45,37939466,0.43,0.644
30/11/2023,188.92,189.39,187.27,189.02,47386990,0.799,0.647
01/12/2023,132.49,132.87,130.08,132.03,71247695,0.382,0.508
04/12/2023,159.79,160.62,158.36,158.68,48348151,0.294,0.391
05/12/2023,172.32,172.76,169.72,171.28,45360284,0.38,0.582
06/12/2023,179.91,182.51,179.61,182.41,53563704,0.596,0.503
07/12/2023,188.26,190.26,187.06,188.35,59702142,0.531,0.587
09/12/2023,178.39,179.02,173.74,175.22,89819406,0.449,0.332
10/12/2023,178.96,181.22,177.94,179.6,56546076,0.463,0.485
12/12/2023,192.14,193.77,190.79,193.76,51288473,0.488,0.555
13/12/2023,194.14,197.04,193.9,197,67759874,0.376,0.537
14/12/2023,197.06,198.65,195.2,197.14,65964117,0.738,0.564
15/12/2023,196.57,197.43,196.04,196.61,115071309,0.597,0.586
