Date,Close/Last,Volume,Open,High,Low
02/02/2021,83.57,3292772,81.82,83.74,80.04
01/02/2021,80.48,2645408,77.75,80.56,76.55
29/01/2021,76.66,3583850,78.03,78.5,74.79
28/01/2021,78.8,3855676,75.1,79.72,74.35
27/01/2021,74.57,5028597,75.16,77.66,71.5
26/01/2021,77.03,4099416,82.74,82.75,76.91
25/01/2021,82.78,5263641,85,87.15,77.6
22/01/2021,83.47,2779550,82.5,83.8433,81.81
21/01/2021,83.02,2987182,84.15,84.99,82.02
20/01/2021,83.51,3509779,83,84.02,81.17
19/01/2021,81.44,3019717,79.35,81.67,79.16
15/01/2021,77.85,3382181,80.86,82.47,77.19
14/01/2021,80.51,4372896,83.32,84.78,79.72
13/01/2021,82.48,5643971,78.58,82.7,77.98
12/01/2021,77.82,2964710,77,78.22,75.69
11/01/2021,76.5,3381517,78,79.89,76.21
08/01/2021,79.15,4577874,80.16,81.94,77.55
07/01/2021,79.02,6191891,74.4,79.19,74.31
06/01/2021,73.27,4467832,73,75.23,71.01
05/01/2021,75.14,2864467,73.13,75.9,73.0101
04/01/2021,74.59,4439620,77.56,77.7,72.22
31/12/2020,75.99,3444312,77.45,77.79,75.04
30/12/2020,77.53,5049079,77.21,78.35,74.51
29/12/2020,76.4,6518143,79.14,80.1199,75.94
28/12/2020,77.5,7276126,86.73,86.73,77.49
24/12/2020,84.98,2892159,83.96,87.3,82.6337
23/12/2020,81.9,4847540,86.55,86.55,81.25
22/12/2020,86.56,5599554,87,88.77,84.44
21/12/2020,86.21,6874668,85.33,87.2,82.9604
18/12/2020,83.81,9964577,82,84.2,81.05
17/12/2020,81.82,4915101,82.15,82.49,79.61
16/12/2020,81.81,4110382,82,82,79.6844
15/12/2020,81.46,5089109,81.89,83.37,80.421
14/12/2020,81.43,4149573,83.26,84.2,80.97
11/12/2020,82.41,5865974,83.42,83.42,78.81
10/12/2020,84.05,8571618,77,86.21,76.37
09/12/2020,77.31,6031221,82.01,82.36,75.73
08/12/2020,83.55,4894770,82.16,84.36,80.9
07/12/2020,81.96,4541265,77.37,82.52,77.31
04/12/2020,77.35,4043757,74.47,77.84,74.04
03/12/2020,74.13,3391227,72.97,75.19,72.33
02/12/2020,71.9,3343422,71.64,71.99,68.83
01/12/2020,72.29,5452619,76.8,76.8,71.17
30/11/2020,75.08,17157620,74.15,76.7699,70.1
27/11/2020,74.76,5107822,71,74.93,70.96
25/11/2020,69.99,5167186,66.74,70,66.72
24/11/2020,66.69,4488766,66.2,68.91,65.11
23/11/2020,66.09,4664336,67,67.255,64.59
20/11/2020,66.55,6270329,66,68.206,65.5
