Date,Open,High,Low,Close,Volume
08/03/2022,80.89,83.6,77.1153,81.08,5557567
09/03/2022,84.35,89.28,83.95,87.87,3666012
10/03/2022,85.76,86,81.2,83.12,3402702
11/03/2022,85.35,85.46,78.72,78.86,3207477
14/03/2022,78.33,79.2,73.12,74.35,5088894
15/03/2022,74.52,78.6899,73.668,77.28,3729032
16/03/2022,80.6,88.27,80.3201,87.73,6148159
17/03/2022,85.99,93.13,85.65,92.75,4501125
18/03/2022,92,97.857,91.85,97.15,5513193
21/03/2022,95.5,98.08,92.26,94.14,3879278
22/03/2022,94.74,99.25,92.61,97.4,3810067
23/03/2022,95.48,101.47,94.21,98.23,3224875
24/03/2022,99.93,100.98,95.34,99.77,2406667
25/03/2022,100.1,100.7268,91.68,93.98,3134254
28/03/2022,95.24,98.15,93.06,98.11,2321355
29/03/2022,100.08,104.79,99.0101,103.92,3579164
30/03/2022,102.1,105.88,100.01,101.21,2583127
31/03/2022,101.7,103.64,99.05,99.21,2177195
01/04/2022,98.63,102.07,94.24,98.92,2961857
04/04/2022,100.35,109.2138,100.18,108.64,3742154
05/04/2022,108,109.99,100.84,100.98,3583988
06/04/2022,98.54,99.25,91.8805,93.89,3560073
07/04/2022,94.73,98.59,89.73,93.86,3519799
08/04/2022,92.67,93.6199,90.11,90.69,2070330
11/04/2022,88.88,92.06,86.36,90.53,2925274
12/04/2022,92.37,96.59,89.83,90.08,2455292
13/04/2022,90,95.46,89.36,94.03,2024458
14/04/2022,94.13,94.34,88.65,89.13,2576622
18/04/2022,88.7,89.3424,85.07,87.2,2008437
19/04/2022,87.2,92.8699,86.53,91.64,2041560
20/04/2022,90.66,91.49,83.4042,83.77,3928136
21/04/2022,84.81,87.76,78.41,78.7,3573918
22/04/2022,79.03,80.624,75.3,75.7,3644775
25/04/2022,75.19,79.89,74.88,79.42,3553443
26/04/2022,78.15,79.05,73,74.26,3448772
27/04/2022,74.84,75.69,68.54,68.65,6097131
28/04/2022,70.73,71.41,65.6,69.93,6366022
29/04/2022,70.13,72.1,66.17,66.41,3956643
02/05/2022,66,69.06,64.1401,68.65,4113393
03/05/2022,68.21,70.7,66.88,67.87,2598316
04/05/2022,67.44,69.74,62.56,69.41,5641637
05/05/2022,67.52,67.52,60.46,62.02,5452009
06/05/2022,61.22,62.14,55.75,57.34,6230184
09/05/2022,56.42,57.1297,49.79,50.38,7407311
10/05/2022,51,53.65,44.55,48.13,19655970
11/05/2022,32.33,34.75,29.3,30.3,50845750
12/05/2022,30.32,37.545,29.09,35.09,28077030
13/05/2022,36.77,40.49,36.65,39.1,15784440
16/05/2022,38.61,39.9999,35.93,36.14,9918854
17/05/2022,36.63,38.62,34.94,38.37,9280760
18/05/2022,37.59,40.75,37.04,37.45,12143720
19/05/2022,37.89,42.68,37.21,41.65,11075650
20/05/2022,42.17,43.35,38.41,41.32,8303674
23/05/2022,40.43,41.89,39.4,41.03,5800687
24/05/2022,39.2,39.24,34.56,35.22,12399330
25/05/2022,35.53,37.86,34.94,37.39,6751951
26/05/2022,36.01,38.86,36.01,38.32,6650482
27/05/2022,39.01,41.68,39,41.32,6319902
31/05/2022,42,42.69,39.01,39.97,12739330
01/06/2022,40.05,41.93,37.73,38.47,5847135
02/06/2022,38.9,44.39,38.45,44.15,8540420
03/06/2022,42.72,44.1,41.46,41.76,6643396
06/06/2022,42.82,43.58,40.51,42.82,8492943
07/06/2022,41.63,44.355,41.22,44.32,4858805
08/06/2022,44.5,47.12,44.43,45.8,5486963
09/06/2022,44.99,45.17,41.26,41.3,8465720
10/06/2022,40.38,40.4,36.3,36.9,11246930
13/06/2022,34.66,35.65,33.3,34.35,8231156
14/06/2022,34.35,35.3,33.2,33.76,6423110
15/06/2022,34.47,37.25,34.05,36.17,8165352
16/06/2022,34.03,34.605,31.8,32.85,7588339
17/06/2022,32.87,36.03,32.82,35.48,8409852
21/06/2022,36.56,39.11,36.43,37.45,5901077
22/06/2022,36.72,40.24,36.36,39.17,6700388
23/06/2022,39.48,44.67,39.2,44.47,10624310
24/06/2022,44.59,47.14,44.18,46.81,13246910
27/06/2022,46.76,47.3,42.96,44.36,7783928
28/06/2022,43.8,45.29,40.285,40.66,7178019
29/06/2022,40.66,41.305,39.13,39.52,5227332
30/06/2022,38.5,38.51,36.01,36.82,9152612
01/07/2022,37.14,39.49,36.86,37.54,6230736
05/07/2022,36.79,42.36,35.74,42.33,9583798
06/07/2022,41.8,43.3,40.61,41.29,5530447
07/07/2022,41.5,44.62,40.75,44.51,6277922
08/07/2022,42.64,46.39,42.07,45.23,7229036
11/07/2022,44.46,45.08,41.13,41.34,6105066
12/07/2022,41.63,42.64,38.54,39.76,7366255
13/07/2022,34.04,34.97,32.51,32.82,53179900
14/07/2022,33.16,33.42,31.73,32.51,22091640
15/07/2022,33.1,34.15,32.07,33.71,12986550
18/07/2022,34.95,36.6,34.5,35.28,16326160
19/07/2022,36,36.15,33.63,35.65,13286990
20/07/2022,35.69,41.5,35.65,40.52,19243630
21/07/2022,39.01,41.38,39.01,40.39,9056900
22/07/2022,39.76,39.79,36,36.47,11440030
25/07/2022,36.33,36.9699,35.085,35.54,6357356
26/07/2022,34.8,34.99,33.02,33.52,9748230
27/07/2022,34.7,37.48,34.02,37.22,8581280
28/07/2022,36.39,38.39,35.25,37.57,7159816
29/07/2022,37,37.39,35.91,37.39,6248584
01/08/2022,37.08,39.32,35.86,38.94,8424452
02/08/2022,38,41.67,37.97,40.96,10321870
03/08/2022,41.65,45.37,41.59,45.06,10010490
04/08/2022,43.47,46.05,42.89,45.34,8529212
05/08/2022,43.5,50.05,43.27,48.06,14049620
08/08/2022,47.72,52.69,47.72,49.76,11163190
09/08/2022,53.2,53.27,48.887,50.35,28136190
10/08/2022,52.94,55.8,51.4,55.57,14932180
11/08/2022,55.5,58.4,52.8,54.25,10704740
12/08/2022,55.26,58.625,53.75,58.47,10225490
15/08/2022,55.55,57.03,53.43,54.3,11498590
16/08/2022,54.43,54.92,51.5,53.64,6776247
17/08/2022,52.33,53.48,51.52,52.1,6243377
18/08/2022,52.51,52.51,50.61,51.14,4087555
19/08/2022,50,50,47.02,47.67,5929983
22/08/2022,46.06,46.85,44.14,45.2,7411471
23/08/2022,45.79,47.09,44.8,44.92,4428245
24/08/2022,45.11,46.86,44.7801,45.76,3748798
25/08/2022,46.8,48.975,45.42,48.89,6899251
26/08/2022,49.25,49.87,43.6601,44.58,7567210
29/08/2022,43.95,46.45,43.655,44.43,4553958
30/08/2022,45.63,46.38,42.15,42.57,5835684
31/08/2022,43.6,44.44,42.35,42.72,4720975
01/09/2022,41.65,42,38.91,41.27,6473620
02/09/2022,41.97,42.75,40.3257,40.79,5382921
06/09/2022,40.78,40.86,37.79,38.67,6112663
07/09/2022,38.63,39.7291,37.73,39.11,7683149
08/09/2022,38.44,39.785,37.66,38.75,13908060
09/09/2022,39.7,41.43,39.58,41.3,16513320
12/09/2022,41.7,42.5288,39.94,42.31,12961850
13/09/2022,38.715,39.146,36.33,36.66,16524140
14/09/2022,36.75,37.965,35.885,37.81,8719757
15/09/2022,36.59,38.85,36.18,38.04,8341958
16/09/2022,36.84,37.75,35.44,35.54,10441140
19/09/2022,35.25,37.01,35.07,36.86,6975572
20/09/2022,36.32,36.43,35.1203,35.2,6699603
