Date,Close,Volume,Open,High,Low,avg,7ma,
28/02/2024,173.16,28180480.00,172.44,174.05,172.27,0.766,0.729,
27/02/2024,173.54,31141730.00,174.08,174.62,172.86,0.498,0.709,
26/02/2024,174.73,44368610.00,175.70,176.37,174.26,0.656,0.745,
23/02/2024,174.99,59715240.00,174.28,175.75,173.70,0.754,0.804,
22/02/2024,174.58,55392350.00,173.10,174.80,171.77,0.818,0.796,
21/02/2024,168.59,44575620.00,168.94,170.23,167.14,0.629,0.817,
20/02/2024,167.08,41980330.00,167.83,168.71,165.74,0.752,0.846,
16/02/2024,169.51,48107740.00,168.74,170.42,167.17,0.696,0.797,
15/02/2024,169.80,49855200.00,170.58,171.17,167.59,0.97,0.796,
14/02/2024,170.98,42815540.00,169.21,171.21,168.28,0.831,0.771,
13/02/2024,168.64,56345120.00,167.73,170.95,165.75,0.768,0.764,
12/02/2024,172.34,51050440.00,174.80,175.39,171.54,0.932,0.761,
09/02/2024,174.45,56985990.00,170.90,175.00,170.58,0.688,0.754,
08/02/2024,169.84,42316450.00,169.65,171.43,168.88,0.798,0.764,
07/02/2024,170.53,47174060.00,169.48,170.88,168.94,0.779,0.757,
06/02/2024,169.15,42505520.00,169.39,170.71,167.65,0.749,0.755,
05/02/2024,170.31,55081300.00,170.20,170.55,167.70,0.772,0.758,
02/02/2024,171.81,117218300.00,169.19,172.50,167.33,0.758,0.773,
01/02/2024,159.28,76542420.00,155.87,159.76,155.62,0.75,0.784,
31/01/2024,155.20,50284370.00,157.00,159.01,154.81,0.765,0.78,
30/01/2024,159.00,45207430.00,160.70,161.73,158.49,0.765,0.786,
29/01/2024,161.26,45270390.00,159.34,161.29,158.90,0.716,0.787,
26/01/2024,159.12,51047350.00,158.42,160.72,157.91,0.837,0.77,
25/01/2024,157.75,43638590.00,156.95,158.51,154.55,0.721,0.719,
24/01/2024,156.87,48547320.00,157.80,158.51,156.48,0.812,0.694,
23/01/2024,156.02,37986040.00,154.85,156.21,153.93,0.772,0.701,
22/01/2024,154.78,43687470.00,156.89,157.05,153.90,0.916,0.705,
19/01/2024,155.34,51651630.00,153.83,155.76,152.74,0.477,0.718,
18/01/2024,153.50,37850250.00,152.77,153.78,151.82,0.545,0.75,
17/01/2024,151.71,34953360.00,151.49,152.15,149.91,0.865,0.735,
16/01/2024,153.16,41384640.00,153.53,154.99,152.15,0.796,0.709,
12/01/2024,154.62,40484160.00,155.39,156.20,154.01,0.703,0.591,
11/01/2024,155.18,49072690.00,155.04,157.17,153.12,0.437,0.596,
10/01/2024,153.73,44421830.00,152.06,154.42,151.88,0.68,0.627,
09/01/2024,151.37,43812570.00,148.33,151.71,148.21,0.623,0.65,
08/01/2024,149.10,46757050.00,146.74,149.40,146.15,0.727,0.669,
05/01/2024,145.24,45153150.00,144.69,146.59,144.53,0.738,0.776,
04/01/2024,144.57,56039810.00,145.59,147.38,144.05,0.648,0.791,
03/01/2024,148.47,49425500.00,149.20,151.05,148.33,0.843,0.786,
02/01/2024,149.93,47339420.00,151.54,152.38,148.39,0.759,0.749,
29/12/2023,151.94,39823200.00,153.10,153.89,151.03,0.84,0.694,
28/12/2023,153.38,27057000.00,153.72,154.08,152.95,0.613,0.696,
27/12/2023,153.34,31434730.00,153.56,154.78,153.12,0.586,0.72,
26/12/2023,153.41,25067220.00,153.56,154.78,153.12,0.813,0.736,
22/12/2023,153.42,29514090.00,153.77,154.35,152.71,0.851,0.727,
21/12/2023,153.84,36305730.00,153.30,153.97,152.10,0.779,0.709,
20/12/2023,152.12,50322110.00,152.90,155.63,151.56,0.701,0.694,
19/12/2023,153.79,43171290.00,154.40,155.12,152.69,0.833,0.682,
18/12/2023,154.07,62512830.00,150.56,154.86,150.05,0.814,0.671,
15/12/2023,149.97,110089300.00,148.38,150.57,147.88,0.729,0.636,
14/12/2023,147.42,58400850.00,149.93,150.54,145.52,0.673,0.613,
13/12/2023,148.84,52766200.00,148.12,149.46,146.82,0.619,0.589,
12/12/2023,147.48,44944260.00,145.52,147.50,145.30,0.757,0.598,
11/12/2023,145.89,50907290.00,145.66,146.19,143.64,0.584,0.593,
08/12/2023,147.42,58400850.00,149.93,150.54,145.52,0.57,0.578,
07/12/2023,146.88,52352830.00,146.15,147.92,145.34,0.508,0.578,
06/12/2023,144.52,39678960.00,147.58,147.85,144.28,0.678,0.607,
05/12/2023,146.88,52352830.00,146.15,147.92,145.34,0.724,0.608,
04/12/2023,144.84,48294240.00,145.25,145.35,142.81,0.624,0.617,
01/12/2023,147.03,39951830.00,146.00,147.25,145.55,0.569,0.649,
30/11/2023,146.09,65814020.00,144.76,146.93,144.33,0.712,0.651,
29/11/2023,146.32,40610910.00,147.85,148.54,145.97,0.684,0.652,
28/11/2023,147.03,39951830.00,146.00,147.25,145.55,0.787,0.659,
27/11/2023,147.73,53762430.00,147.53,149.26,146.88,0.701,0.634,
24/11/2023,146.74,22378380.00,146.70,147.20,145.32,0.583,0.63,
22/11/2023,146.71,45700000.00,144.57,147.74,144.57,0.733,0.615,
21/11/2023,143.90,71225990.00,143.91,144.05,141.50,0.616,0.62,
20/11/2023,146.13,41978770.00,145.13,146.63,144.73,0.467,0.637,
